Datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,weekday,Total_Sub_metering
2006-12-16 17:24:00,4.216,0.418,234.84,18.4,0.0,1.0,17.0,Saturday,18.0
2006-12-16 17:25:00,5.36,0.436,233.63,23.0,0.0,1.0,16.0,Saturday,17.0
2006-12-16 17:26:00,5.374,0.498,233.29,23.0,0.0,2.0,17.0,Saturday,19.0
2006-12-16 17:27:00,5.388,0.502,233.74,23.0,0.0,1.0,17.0,Saturday,18.0
2006-12-16 17:28:00,3.666,0.528,235.68,15.8,0.0,1.0,17.0,Saturday,18.0
2006-12-16 17:29:00,3.52,0.522,235.02,15.0,0.0,2.0,17.0,Saturday,19.0
2006-12-16 17:30:00,3.702,0.52,235.09,15.8,0.0,1.0,17.0,Saturday,18.0
2006-12-16 17:31:00,3.7,0.52,235.22,15.8,0.0,1.0,17.0,Saturday,18.0
2006-12-16 17:32:00,3.668,0.51,233.99,15.8,0.0,1.0,17.0,Saturday,18.0
2006-12-16 17:33:00,3.662,0.51,233.86,15.8,0.0,2.0,16.0,Saturday,18.0
